,MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
3872,Hamlet,(VIII),"
Comedy            ",,"
A modern adaptation of Shakespeare's 'Hamlet', set in London.","

    Star:
Riz Ahmed
",,,
4163,Evelyn,(III) (2018),"
Documentary            ",7.1,"
Following his Oscar winning The White Helmets, Orlando von Einsiedel turns his camera on his own family as they attempt to cope with a devastating loss. When his brother, newly diagnosed as...                See full summary »
","
    Director:
Orlando von Einsiedel
|
    Star:
Orlando von Einsiedel
",687,100.0,
9945, La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",,"
Add a Plot
","
",,,
1316,Rocco,(2016),"
Documentary            ",5.7,"
A behind-the-scene account of the porn world and its stars as they've never been seen before - and the no-holds-barred portrait of a true giant.","
    Directors:
Thierry Demaizière,
Alban Teurlai
|
    Stars:
Rocco Siffredi,
Anikka Albrite,
Veronica Avluv,
Eva Berger
","3,700",105.0,
8590, Queen Sono,(2020–2021),"
Action, Crime, Drama            ",,"
Add a Plot
","
    Director:
Kagiso Lediga
|
    Stars:
Pearl Thusi,
Vuyo Dabula,
Sechaba Morojele,
Chi Mhende
",,,
259,Grace and Frankie,(2015–2021),"
Comedy            ",8.3,"
Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together.","

    Stars:
Jane Fonda,
Lily Tomlin,
Sam Waterston,
Martin Sheen
","41,520",30.0,
8973, Big Mouth,(2017– ),"
Animation, Comedy, Romance            ",7.8,"
The kids at Bridgeton Middle explore enthusiastic consent, feminine pleasure, coercion and more in four short films.","
    Director:
Andres Salaff
|
    Stars:
Nick Kroll,
John Mulaney,
Jessi Klein,
Jason Mantzoukas
",509,27.0,
286,News of the World,(2020),"
Action, Adventure, Drama            ",6.8,"
A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.","
    Director:
Paul Greengrass
|
    Stars:
Tom Hanks,
Helena Zengel,
Tom Astor,
Travis Johnson
","69,037",118.0,
84,Heartland,(II) (2007– ),"
Drama, Family            ",8.4,"
A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.","

    Stars:
Amber Marshall,
Shaun Johnston,
Michelle Morgan,
Graham Wardle
","11,764",45.0,
7622, Mytho,(2019),"
Drama            ",7.5,"
Add a Plot
","
    Director:
Fabrice Gobert
|
    Stars:
Marina Hands,
Mathieu Demy,
Marie Drion,
Jérémy Gillet
",25,44.0,
8874, El robo del siglo,(2020),"
Crime, Drama, Thriller            ",7.7,"
Disabling guards and the alarm, the crew work to crack the vault. Dealt with an electrical issue, thicker vault, guard change, heat and smoke the crew is wearily behind schedule. 18hrs inside and tensions arising, the crew finds success.","
    Directors:
Pablo Gonzalez,
C.S. Prince
|
    Stars:
Marcela Benjumea,
Andrés Parra,
Christian Tappan,
Waldo Urrego
",96,,
3990,Hasan Minhaj: Homecoming King,(2017 TV Special),"
Comedy            ",8.3,"
In his first stand-up special, Hasan Minhaj weaves humorous and heartbreaking anecdotes to tell his life story as an Indian-American Muslim. Topics include racism, bullying and meeting the demanding expectations of his immigrant parents.","
    Director:
Christopher Storer
|
    Star:
Hasan Minhaj
","6,750",73.0,
5044,River of Darkness,(2011),"
Action, Horror, Thriller            ",2.1,"
When brutal murdering starts in a small riverside town, the sheriff must investigate and face the horrific past.","
    Director:
Bruce Koehler
|
    Stars:
Kurt Angle,
S. William Hinzman,
Kevin Nash,
Sid Eudy
",876,105.0,
2775,The Princess Switch 3,(2021),"
Comedy, Drama, Family            ",,"
Add a Plot
","
    Director:
Mike Rohl
|
    Stars:
Vanessa Hudgens,
Nick Sagar,
Remy Hii,
Amanda Donohoe
",,,
9855, Surviving Summer,(2022– ),"
Drama            ",,"
Add a Plot
","
    Director:
Ben Chessell
|
    Stars:
Sky Katz,
Kai Lewins,
Savannah La Rain,
Joao Marinho
",,,
