,MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
261,Love Is Blind,(2020– ),"
Reality-TV, Romance            ",6.1,"
Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.","

    Stars:
Heather Ashley Chase,
Nick Lachey,
Vanessa Lachey,
Kenny Barnes
","5,342",48.0,
9162, Feria: The Darkest Light,,"
Crime, Drama, Fantasy            ",,"
Add a Plot
","
    Directors:
Jorge Dorado,
Carles Torrens
|
    Stars:
Marta Nieto,
Ana Tomeno,
Carla Campra,
Ángela Cremonte
",,,
5533,Nailed It! Germany,(2020– ),"
Reality-TV            ",5.8,"
Home cooks try -- and inevitably fail -- to re-create spectacular confections on this comical competition show, all for a sweet 5,000 euros.","

    Stars:
Angelina Kirsch,
Bernd Siefert
",89,,
763,Taken 3,(2014),"
Action, Crime, Thriller            ",6.0,"
Accused of a ruthless murder he never committed or witnessed, Bryan Mills goes on the run and brings out his particular set of skills to find the true killer and clear his name.","
    Director:
Olivier Megaton
|
    Stars:
Liam Neeson,
Forest Whitaker,
Maggie Grace,
Famke Janssen
","183,595",108.0,$89.26M
245,Kong: Skull Island,(2017),"
Action, Adventure, Fantasy            ",6.6,"
After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.","
    Director:
Jordan Vogt-Roberts
|
    Stars:
Tom Hiddleston,
Samuel L. Jackson,
Brie Larson,
John C. Reilly
","294,292",118.0,$168.05M
5149,Estocolmo,(2016),"
Crime, Drama, Mystery            ",5.8,"
An undercover agent, a prosecutor, and a journalist try to bring down a human trafficking ring, but nothing is as straightforward as it seems.","

    Stars:
Luciano Cáceres,
Juana Viale,
Jorge Marrale,
Pia Galeano
",328,60.0,
8174, Night on Earth,(2020),"
Documentary            ",8.2,"
The oceans' tides ebb and flow in concert with the moon, and so do lives of the creatures below from the largest whale shark to the smallest prawn.","
    Director:
Ingrid Kvale
|
    Stars:
Alessandra Mastronardi,
Beren Saat,
Samira Wiley
",211,48.0,
7254, Grand Army,(2020),"
Drama            ",7.4,"
Traumatised m, Joey spirals. Sid opens up in his Harvard essay. A health crisis puts more pressure on Dom to financially support her family.","
    Director:
Darnell Martin
|
    Stars:
Odessa A’zion,
Odley Jean,
Amir Bageria,
Maliq Johnson
",107,53.0,
7792, Anne,(2017–2019),"
Drama, Family            ",9.6,"
Anne steps into the next chapter of her life.","
    Director:
Amanda Tapping
|
    Stars:
Amybeth McNulty,
Geraldine James,
R.H. Thomson,
Lucas Jade Zumann
","2,178",44.0,
6124,The Plan,(I) (2015),"
Thriller            ",7.1,"
The Plan - youth centric, high energy, prison break, suspense thriller, social and political film treated on world cinema treatment. The film is portrayed on a canvas of a prison amidst of ...                See full summary »
","
    Directors:
Keerthi Bl,
Keerthi
|
    Stars:
Ramesh Bhat,
Gowthami Gowda,
Hemanth,
Koustubh Jayakumar
",81,120.0,
5312,Moh Maya Money,(2016),"
Crime, Drama, Thriller            ",5.6,"
A young real-estate broker tries to pull off a huge scam, which goes horribly wrong. To fix everything he involves his begrudging wife leading to an end neither could imagine.","
    Director:
Munish Bhardwaj
|
    Stars:
Neha Dhupia,
Ranvir Shorey,
Devendra Chowhan,
Vidushi Mehra
",419,108.0,
8937, Glitch Techs,(2020– ),"
Animation, Action, Adventure            ",9.1,"
An alert at a house infamous for glitch-heavy activity sets Mitch on edge. When Miko and High Five get there, they learn why it's so personal to him.","
    Director:
Hyun Joo Song
|
    Stars:
Zehra Fazal,
Kirby Howell-Baptiste,
Ricardo Hurtado,
Bryton James
",37,,
8514, Riverdale,(2017– ),"
Crime, Drama, Mystery            ",7.4,"
After receiving a letter from the University of Iowa asking him to submit a story, Jughead works on a twisted tale about the gang's revenge fantasy against Principal Honey for all the ways he's ruined their senior year.","
    Director:
Mädchen Amick
|
    Stars:
K.J. Apa,
Lili Reinhart,
Camila Mendes,
Cole Sprouse
",821,41.0,
1370,Two Distant Strangers,(2020),"
Short, Drama, Sci-Fi            ",6.9,"
A man trying to get home to his dog gets stuck in a time loop that forces him to relive a deadly run-in with a cop.","
    Directors:
Travon Free,
Martin Desmond Roe
|
    Stars:
Joey Bada$$,
Andrew Howard,
Zaria,
Mona Sishodia
","12,375",32.0,
5131,21 Days Under the Sky,(2016),"
Documentary            ",6.7,"
4 bikers pull an ""Easy rider"". How it used to be or at least how it was for me.","
    Director:
Michael Schmidt
|
    Stars:
Troy Critchlow,
Gentry Dayton,
Tom Fugle,
Ryan Grossman
",252,70.0,
8946, Get Organized with the Home Edit,(2020– ),"
Reality-TV            ",5.4,"
Reese Witherspoon hires Clea and Joanna to help display some of her memorable movie and TV looks. The team revives a pediatrician's cluttered closet.","

    Stars:
Clea Shearer,
Joanna Teplin,
Reese Witherspoon
",48,,
3772,Verónica,(II) (2017),"
Drama, Mystery, Thriller            ",5.9,"
A female Psychologist who has stopped practicing medicine, decides to take the case of Veronica de la Serna, a young woman whose previous therapist has mysteriously disappeared.","
    Directors:
Carlos Algara,
Alejandro Martinez-Beltran
|
    Stars:
Olga Segura,
Arcelia Ramírez,
Sofía Garza,
Horacio Castelo
","1,342",81.0,
7033, La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Alonso asks Manolo to make a decision based on what's best for Sol's health. Catalina advises Constanza on the best way to get revenge against Pedro.","

    Stars:
Emmanuel Esparza,
Essined Aponte,
Manuel Navarro,
Álvaro Benet
",,,
8001, The Confession Killer,(2019),"
Documentary, Crime            ",7.2,"
The hunt for two missing women leads authorities to Henry Lee Lucas. In court, he drops a bombshell, setting off a media circus and riveting a nation.","
    Directors:
Robert Kenner,
Taki Oldham
|
    Stars:
Henry Lee Lucas,
Phil Ryan,
Kate Rich,
Frieda Lorraine Powell
",318,45.0,
867,How It Ends,(2018),"
Action, Adventure, Drama            ",5.0,"
In the midst of an apocalypse, a man struggles to reach his pregnant wife, who is thousands of miles away.","
    Director:
David M. Rosenthal
|
    Stars:
Theo James,
Kat Graham,
Nancy Sorel,
Nicole Ari Parker
","46,842",113.0,
5642,A Tale of Two Kitchens,(2019),"
Documentary, Short            ",6.3,"
Two countries, two restaurants, one vision. A Tale of Two Kitchens explores the ways in which a restaurant can serve as a place of both dignity and community.","
    Director:
Trisha Ziff
",251,29.0,
6516, Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.3,"
A series of short stories covering some of the time spent by Katara, Toph, Iroh, Sokka, Aang, Zuko and Momo as they live in Ba Sing Se.","
    Director:
Ethan Spaulding
|
    Stars:
Zach Tyler,
Mae Whitman,
Jack De Sena,
Michaela Jill Murphy
","4,347",25.0,
6448,Sneakah Boutique the Documentary,(2016),"
Documentary            ",,"
The Rise of an Empire chronicles the lives of these three visionaries as they attempt to take Sneakah Boutique to the next level.","
    Director:
Nailah Wright
|
    Stars:
Whitney Bryant,
Ernest Freeman,
Nailah Wright
",,,
6564, Bleach: Burîchi,(2004–2012),"
Animation, Action, Adventure            ",7.9,"
News of the intruders' surprising strength spreads among the Shinigami, and the captains are eager for information.","
    Directors:
Noriyuki Abe,
Shigeki Hatakeyama
|
    Stars:
Masakazu Morita,
Noriaki Sugiyama,
Hiroki Yasumoto,
Yuki Matsuoka
",176,24.0,
4828,Lotería,,"
Adventure, Drama            ",,"
A recently widowed father looking to bond with his kids ends up with more than he bargained for when an old family deck of Lotería Don Clemente cards come to life. The family is whisked on ...                See full summary »
","
    Director:
James Bobin
|
    Stars:
Eugenio Derbez,
Deyvi Stib Rodríguez
",,,
5065,III,(I) (2015),"
Drama, Horror, Thriller            ",4.8,"
A small European town, where sisters Ayia and Mirra live, gets struck down by an unknown disease which takes many lives. Following their mother's death, the younger sister falls ill. Having...                See full summary »
","
    Director:
Pavel Khvaleev
|
    Stars:
Polina Davydova,
Lyubov Ignatushko,
Evgeniy Gagarin,
Andrey Abramichev
","1,750",80.0,
6862, The English Game,(2020– ),"
Drama, History, Sport            ",7.9,"
Martha gets difficult news. Arthur and Alma make a grim discovery. Fergus struggles in his new role, and a match in Blackburn ends in chaos.","
    Director:
Tim Fywell
|
    Stars:
Edward Holcroft,
Kevin Guthrie,
Charlotte Hope,
Niamh Walsh
",374,,
5840,Tenured,(2015),"
Comedy            ",6.0,"
It's dark times for Ethan Collins, a severely depressed, foul-mouthed elementary school teacher whose wife's recent infidelity and departure have left him questioning everything in his life.","
    Director:
Chris Modoono
|
    Stars:
Gil Zabarsky,
Kate Flannery,
Kathleen Littlefield,
Maddux Berry
",492,80.0,
1955,Mismatched,(2020– ),"
Comedy, Drama, Romance            ",5.5,"
The movie will be a romantic film featuring two people who are not right for each other. The story is about Prajakta's character who is a tech wizard and the guy who is interested in her.","

    Stars:
Prajakta Koli,
Rohit Saraf,
Muskkaan Jaferi,
Devyani Shorey
","3,261",30.0,
4582,High in the Clouds,(2022),"
Animation, Adventure, Comedy            ",,"
A squirrel embarks on a journey to find an animal sanctuary.","
    Director:
Timothy Reckart
",,,
9222, The Boondocks,(2005–2014),"
Animation, Action, Comedy            ",8.6,"
In the wake of Huey's failed protest against the network, BET's Harvard-educated programming chief, Weggie Rudlin, is moving ahead with his promise to create The Uncle Ruckus Reality Show.","
    Directors:
Seung Eun Kim,
Bob Hathcock
|
    Stars:
Regina King,
John Witherspoon,
Cedric Yarbrough,
Gary Anthony Williams
",184,23.0,
2395,Altered Carbon: Resleeved,(2020),"
Animation, Action, Crime            ",6.5,"
On the planet Latimer, reawakened Takeshi Kovacs must protect a teenage tattooist named Holly while investigating the death of a yakuza boss alongside Gina, a strangely familiar no-nonsense CTAC agent.","
    Directors:
Takeru Nakajima,
Yoshiyuki Okada,
Shouta Kitamoto
|
    Stars:
Ray Chase,
Doug Stone,
Kaiji Tang,
Chris Conner
","5,301",74.0,
2897,The School Nurse Files,(2020– ),"
Comedy, Drama, Fantasy            ",6.5,"
Wielding a light-up sword through the dark corners of a high school, a nurse with an unusual gift protects students from monsters only she can see.","

    Stars:
Yu-mi Jung,
Nam Joo-Hyuk,
Shim Dal Gi,
Ju-Young Lee
",915,51.0,
4493,Extremis,(2016),"
Documentary, Short            ",7.3,"
Witness the wrenching emotions that accompany end-of-life decisions as doctors, patients and families in a hospital ICU face harrowing choices.","
    Director:
Dan Krauss
|
    Stars:
Monica Bhargava,
Jessica Zitter
","2,242",24.0,
9985, The Last Kingdom,(2015– ),"
Action, Drama, History            ",,"
Add a Plot
","
    Director:
Paul Wilmshurst
|
    Stars:
Alexander Dreymon,
Emily Cox,
Millie Brady,
Eliza Butterworth
",,,
5737,Baires,(2015),"
Action, Crime, Thriller            ",4.2,"
An ordinary man's romantic trip to Argentina turns to horror when vicious drug dealers hold his girlfriend hostage and force him to do a job for them.","
    Director:
Marcelo Páez Cubells
|
    Stars:
Germán Palacios,
Benjamín Vicuña,
Sabrina Garciarena,
Carlos Belloso
",197,82.0,
3800,Nur,(2018),"
Drama            ",7.3,"
The series focuses on the relationship between a pious man and a prostitute who practices her faith in an unconventional manner.","

    Stars:
Syafiq Kyle,
Amyra Rosli,
Fatimah Abu Bakar,
Atiq Azman
",16,,
3747,Yeh Ballet,(2020),"
Drama            ",7.6,"
Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.","
    Director:
Sooni Taraporevala
|
    Stars:
Julian Sands,
Jim Sarbh,
Sarah Jane Dias,
Vijay Maurya
","1,151",117.0,
9781, Inside Man,,"
Drama, Mystery, Thriller            ",,"
Add a Plot
","
    Director:
Paul McGuigan
|
    Stars:
July Namir,
David Tennant,
Stanley Tucci,
Dolly Wells
",,,
5330,Home: For the Holidays,(2017 TV Movie),"
Animation, Adventure, Comedy            ",4.8,"
Oh takes it upon himself to introduce Christmas joy to his fellow Boovs. Unfortunately, his well-meaning mission nearly destroys the city.","
    Director:
Blake Lemons
|
    Stars:
Kelly Clarkson,
Ryan Crego,
Rachel Crow,
Kelly Donohue
",133,45.0,
9085, RH Project,(2021),"
Documentary, Crime, History            ",7.4,"
In 1993, Maury interviews the elusive Berkowitz, who substantiates his theories about the cult. But his obsession with the case begins to take a toll.","
    Director:
Joshua Zeman
|
    Stars:
Paul Giamatti,
Maury Terry,
Wayne Darwen,
David Berkowitz
",355,61.0,
1609,Forces spéciales,(2011),"
Action, Drama, War            ",6.4,"
A French journalist in Afghanistan is kidnapped by the Taliban.","
    Director:
Stéphane Rybojad
|
    Stars:
Diane Kruger,
Djimon Hounsou,
Benoît Magimel,
Denis Ménochet
","18,275",109.0,$0.01M
7438, Valeria,(2020– ),"
Comedy, Drama, Romance            ",7.5,"
Add a Plot
","
    Director:
Inma Torrente
|
    Stars:
Diana Gómez,
Silma López,
Paula Malia,
Teresa Riott
",60,,
1887,Dogs,(2018– ),"
Documentary            ",8.1,"
Documentary series celebrating the deep emotional bonds between people and their beloved four-legged best friends.","

    Stars:
Beth,
Carly,
Corinne
","1,151",50.0,
339,Derry Girls,(2018– ),"
Comedy            ",8.4,"
The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.","

    Stars:
Saoirse-Monica Jackson,
Louisa Harland,
Nicola Coughlan,
Jamie-Lee O'Donnell
","24,293",30.0,
128,Jaws,(1975),"
Adventure, Thriller            ",8.0,"
When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","
    Director:
Steven Spielberg
|
    Stars:
Roy Scheider,
Robert Shaw,
Richard Dreyfuss,
Lorraine Gary
","558,731",124.0,$260.00M
2888,A Christmas Prince: The Royal Wedding,(2018),"
Drama, Romance            ",5.3,"
A year after helping Richard get to the throne, Amber is about to become his wife. But is she really made to be queen?","
    Director:
John Schultz
|
    Stars:
Rose McIver,
Ben Lamb,
Alice Krige,
Honor Kneafsey
","9,527",92.0,
9143, Tribes of Europa,(2021– ),"
Action, Adventure, Drama            ",7.3,"
Liv must choose to support either Commander David Voss or the Father, General Cameron. Lord Varvara engages Kiano and then decides whether he earns a bid at the Boj. Elija and Moses struggle to reclaim the cube from Bracker.","
    Director:
Florian Baxmeyer
|
    Stars:
Henriette Confurius,
Emilio Sakraya,
David Ali Rashed,
Melika Foroutan
",477,44.0,
9920, Girl From Nowhere,(2018– ),"
Crime, Drama, Fantasy            ",8.5,"
At Pantanawittaya, students are expected to strictly follow rules without question, but Nanno relishes breaking as many as she can.","
    Directors:
Paween Purijitpanya,
Surawut Tungkharak
|
    Stars:
Chicha Amatayakul,
Yuuki Luna,
Chanya McClory,
Tris Ren
",158,,
1123,La casa de las flores,(2018–2020),"
Comedy, Drama            ",7.6,"
A wealthy matriarch tries to maintain her family's facade of perfection after her husband's mistress exposes their dirty secrets.","

    Stars:
Cecilia Suárez,
Claudette Maillé,
Dario Yazbek Bernal,
Juan Pablo Medina
","7,172",60.0,
1234,Goblin Slayer,(2018– ),"
Animation, Action, Adventure            ",7.5,"
In a fantasy world, a lone hero makes his living by exterminating all goblins he encounters. But one day he meets a friend, and his life begins to become more intense.","

    Stars:
Yuichiro Umehara,
Yui Ogura,
Hayden Daviau,
Brad Hawkins
","5,711",30.0,
2335,La trinchera infinita,(2019),"
Action, Drama, History            ",7.2,"
1936. A country taken by the fascism. A husband marked for the killing. A wife determined to all for saving him. An endless incarceration in his own home.","
    Directors:
Aitor Arregi,
Jon Garaño,
Jose Mari Goenaga
|
    Stars:
Antonio de la Torre,
Belén Cuesta,
Vicente Vergara,
José Manuel Poga
","5,405",147.0,
3344,No One Gets Out Alive,(2021),"
Horror, Thriller            ",,"
An immigrant in search of the American dream who, after being forced to take a room in a boarding house, finds herself in a nightmare she can't escape.","
    Director:
Santiago Menghini
|
    Stars:
Cristina Rodlo,
Marc Menchaca,
David Figlioli,
Moronke Akinola
",,,
4648,Dayveon,(2017),"
Drama            ",6.3,"
In the wake of his older brother's death, 13-year-old Dayveon spends the sweltering summer days roaming his rural Arkansas town. When he falls in with a local gang, he becomes drawn to the camaraderie and violence of their world.","
    Director:
Amman Abbasi
|
    Stars:
Devin Blackmon,
Dontrell Bright,
Lachion Buckingham,
Kordell Johnson
",501,75.0,$0.00M
3469,Quincy,(2018),"
Documentary, Biography            ",7.6,"
An intimate look into the life of icon Quincy Jones. A unique force in music and popular culture for 70 years, Jones has transcended racial and cultural boundaries; his story is inextricably woven into the fabric of America.","
    Directors:
Alan Hicks,
Rashida Jones
|
    Stars:
Quincy Jones,
Rashida Jones,
Kareem Abdul-Jabbar,
Clarence Avant
","4,067",124.0,
3763,The Axe Murders of Villisca,(2016),"
Horror            ",4.2,"
'The Axe Murders of Villisca' is a ghost story based on the house where the notorious and still unsolved 1912 axe murders took place. Three outcast teenagers break into the house in search of answers, but discover something far beyond their worst fears.","
    Director:
Tony E. Valenzuela
|
    Stars:
Robert Adamson,
Jarrett Sleeper,
Alex Frnka,
Sean Whalen
","1,838",78.0,
8253, Desenfrenadas,(2020– ),"
Comedy, Drama            ",7.8,"
Rocío offers to help Marcela find Joshua. Vera begins to suffer the consequences for her actions at work. Carlota is enamored with Oaxaca's art scene.","
    Directors:
Diego Martínez Ulanosky,
Elisa Miller
|
    Stars:
Tessa Ia,
Bárbara López,
Lucía Uribe,
Coty Camacho
",32,,
2403,Gekkan Shojo Nozaki-kun,(2014– ),"
Animation, Comedy, Romance            ",7.6,"
High school student Chiyo Sakura has a crush on schoolmate Umetarou Nozaki, but when she confesses her love to him, he mistakes her for a fan and gives her an autograph. When she says that ...                See full summary »
","

    Stars:
Yûichi Nakamura,
Ari Ozawa,
Christina Marie Kelly,
Ty Mahany
","2,870",24.0,
2329,Svaha: The Sixth Finger,(2019),"
Horror, Mystery, Thriller            ",6.3,"
Pastor Park works to expose suspicious religious groups. He's hired to look into the cult group Deer Mount. Meanwhile, Police Captain Hwang investigates a murder case and the main suspect is a member of the Deer Mount cult.","
    Director:
Jae-hyun Jang
|
    Stars:
Yoo Ji-Tae,
Jung-jae Lee,
Jin Seon-kyu,
Lee Hang-na
","3,219",122.0,
9425, Locke & Key,(2020– ),"
Drama, Fantasy, Horror            ",,"
Add a Plot
","
    Director:
Mairzee Almas
",,,
4941,Dale Gas,(2021– ),"
Action, Crime, Thriller            ",,"
The Story of Kike Guerrero, a talented illegal street race car driver that fights to live an honest life, but is forced to return to Monterrey, a place where his family became powerful in the world of automobile crime.","

    Stars:
Jocelyn Chacón,
Andrés Delgado,
Geovanni Martínez,
Iván Martínez
",,,
5907,Tromba Trem,(2010– ),"
Animation, Adventure, Comedy            ",8.7,"
Add a Plot
","

    Stars:
Roberto Rodrigues,
Maira Kesten,
Maria Regina,
Luca De Castro
",40,,
7394, Tiny Pretty Things,(2020– ),"
Drama, Mystery, Thriller            ",6.8,"
Neveah's mom resurfaces, along with bad memories. The dancers play detective and pinpoint a suspect in Cassie's fall. Bette flips the script on Ramon.","
    Director:
Samir Rehem
|
    Stars:
Brennan Clost,
Barton Cowperthwaite,
Bayardo De Murguia,
Damon J. Gillespie
",137,,
96,The Ice Road,(2021),"
Action, Adventure, Drama            ",5.6,"
After a remote diamond mine collapses in far northern Canada, a ‘big-rig’ ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.","
    Director:
Jonathan Hensleigh
|
    Stars:
Liam Neeson,
Marcus Thomas,
Laurence Fishburne,
Amber Midthunder
","20,561",109.0,
7324, Typewriter,(2019),"
Horror, Mystery, Thriller            ",7.5,"
A flashback to the 1980s reveals the Fakeer's sinister actions. Jenny and Sam each learn surprising details about his connection to Madhav Mathews.","
    Director:
Sujoy Ghosh
|
    Stars:
Aarnaa Sharma,
Palomi Ghosh,
Mikhail Gandhi,
Palash Kamble
",121,48.0,
4571,1 Chance 2 Dance,(2014),"
Drama, Family            ",4.8,"
When a seventeen-year old aspiring dancer is uprooted mid-semester of her senior year, she finds herself in a small East Coast high school where her heart will be divided between two boys, ...                See full summary »
","
    Director:
Adam Deyoe
|
    Stars:
Lexi Giovagnoli,
Justin Ray,
Rae Latt,
Poonam Basu
",544,89.0,
7506, Mighty Little Bheem,(2019– ),"
Animation, Short, Adventure            ",,"
Add a Plot
","
    Directors:
Rajiv Chilaka,
Krishna Mohan Chintapatla
",,,
7406, The 100,(2014–2020),"
Drama, Mystery, Sci-Fi            ",7.8,"
Where in the universe is Bellamy Blake?","
    Director:
Aprill Winney
|
    Stars:
Eliza Taylor,
Bob Morley,
Marie Avgeropoulos,
Lindsey Morgan
","1,694",42.0,
2405,Street,(I) (2015),"
Action            ",4.6,"
Remo Street is a young fighter who has to choose between the long hard road to honor and glory, or succumbing to a brutal future as a cage fighter for the Russian Mafia.","
    Director:
Bradford May
|
    Stars:
Quincy Brown,
Mindy Robinson,
Mark Ryan,
Kate Miner
",973,85.0,
2075,Bonusfamiljen,(2017– ),"
Comedy, Drama            ",7.6,"
A drama series exploring the complexities of relationships in modern family life in Northern Europe.","

    Stars:
Vera Vitali,
Erik Johansson,
Fredrik Hallgren,
Frank Dorsin
","2,864",44.0,
