,MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
7425, Freud,(2020– ),"
Crime, History, Thriller            ",7.0,"
Struggling with his career and swigging cocaine, Freud is pulled into a gruesome crime, then into an exclusive seance led by a mesmerizing psychic.","
    Director:
Marvin Kren
|
    Stars:
Robert Finster,
Ella Rumpf,
Georg Friedrich,
Christoph F. Krutzler
",491,57.0,
7131, Pacific Rim,(2021– ),"
Animation, Action, Adventure            ",7.1,"
When a Kaiju fast approaches, Shane forces Taylor to copilot Atlas Destroyer with Mei to get it out of harm's way, but Taylor wants to fight.","
    Directors:
Hiroki Hayashi,
Jae Hong Kim,
Susumu Sugai
|
    Stars:
Gideon Adlon,
Calum Worthy,
Erica Lindbeck,
Victoria Grace
",185,25.0,
4267,Jack Whitehall: I'm Only Joking,(2020 TV Special),"
Comedy            ",6.6,"
Jack Whitehall hits the stage with hilarious tales about happy couples, life in hotels, human stupidity and his well-traveled father.","
    Directors:
Dave Skinner,
Freddie Waters
|
    Stars:
Jack Whitehall,
Michael Whitehall
","1,153",58.0,
9139, Ben X Jim,(2020– ),"
Romance            ",,"
Just as about Leo is to bring a dark cloud to Ben's life, Jim arrives and rescues him. This simple gesture leads to them reconnecting once again ang being comfortable to each other. Ben ...                See full summary »
","
    Director:
Easy Ferrer
|
    Stars:
Jerome Ponce,
Teejay Marquez,
Sarah Edwards,
Kat Galang
",,32.0,
5682,Barbie: Happy Birthday to You!,(2017 TV Special),"
Animation, Short            ",4.1,"
Get ready to make a wish and have the most amazing birthday ever, with a little help from Barbie and a very special guest.","

    Stars:
Ritesh Rajan,
America Young
",8,1.0,
0,Blood Red Sky,(2021),"
Action, Horror, Thriller            ",6.1,"
A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.","
    Director:
Peter Thorwarth
|
    Stars:
Peri Baumeister,
Carl Anton Koch,
Alexander Scheer,
Kais Setti
","21,062",121.0,
3584,Cek Toko Sebelah: The Series,(2018–2019),"
Comedy            ",8.3,"
The series takes place when Erwin (Ernest Prakasa) takes charge of the family store. After working at the store for a week, Erwin felt like he needed to adjust the condition and environment of the store.","

    Stars:
Ernest Prakasa,
Yusril Fahriza,
Andi Awwe Wijaya,
Adjis Doaibu
",96,22.0,
5251,The Good Road,(2013),"
Drama            ",6.1,"
A family on vacation lose their son. A truck driver's last ride. A girl chasing hope. This is a life affirming journey, across a local highway, and into the heart of an unseen India, where acts of great compassion are shown to strangers.","
    Director:
Gyan Correa
|
    Stars:
Ajay Gehi,
Sonali Kulkarni,
Shamji Dhana Kerasia,
Priyank Upadhyay
",537,92.0,
3324,Street Food: Asia,(2019),"
Documentary            ",8.0,"
Exploring the rich culture of street food in some of the world's most colorful cities.","

    Stars:
Philip Hersh,
Caitlyn Elizabeth,
Daniel Lee Gray,
Chawadee Nualkhair
","2,447",30.0,
6485, Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.6,"
As Zuko tries to make it by in exile without his uncle, he remembers how his father became Firelord and what happened to his mother.","
    Director:
Lauren MacMullan
|
    Stars:
Dante Basco,
Grey Griffin,
Mako,
Gary Anthony Sturgis
","4,263",25.0,
